route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__876___,1_8__876___,1_8__876___-8__876____2_18:30:00_1_-__3_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____2_20:00:00_2_-__4_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____2_22:00:00_1_-__4_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____3_08:00:00_2_-__1_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____3_09:20:00_1_-__1_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____3_11:00:00_2_-__2_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____3_12:30:00_1_-__2_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____3_17:00:00_2_-__3_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____3_18:30:00_1_-__3_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____3_20:00:00_2_-__4_8__876___,INTERCAMBIADOR DE PLAZA CASTILLA,876 MADRID( Pza. Castilla),1,,8__876____2_-_IT_1,0
8__876___,1_8__876___,1_8__876___-8__876____3_22:00:00_1_-__4_8__876___,ABOGADOS DE ATOCHA-URB.LOS VALLES,876 MORALZARZAL-COLLADO VILLALBA,0,,8__876____1_-_IT_1,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____1_00:50:00_1_-__1_8_N_603___,ESTACIÓN DE AUTOBUSES DE MORALZARZAL,N603 COLLADO VILLALBA-MORALZARZAL,0,,8_N_603____1_-_IT_1,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____1_02:00:00_2_-__2_8_N_603___,PRINCESA-PZA.MONCLOA,N603 MADRID (Moncloa),1,,8_N_603____2_-_IT_1,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____1_02:50:00_1_-__2_8_N_603___,ESTACIÓN DE AUTOBUSES DE MORALZARZAL,N603 COLLADO VILLALBA-MORALZARZAL,0,,8_N_603____1_-_IT_1,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____1_04:00:00_2_-__3_8_N_603___,PRINCESA-PZA.MONCLOA,N603 MADRID (Moncloa),1,,8_N_603____2_-_IT_1,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____1_05:00:00_1_-__3_8_N_603___,ESTACIÓN DE AUTOBUSES DE MORALZARZAL,N603 COLLADO VILLALBA-MORALZARZAL,0,,8_N_603____1_-_IT_1,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____1_23:30:00_2_-__1_8_N_603___,PRINCESA-PZA.MONCLOA,N603 MADRID (Moncloa),1,,8_N_603____2_-_IT_1,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____2_00:30:00_1_-__1_8_N_603___,ESTACIÓN DE AUTOBUSES DE MORALZARZAL,N603 COLLADO VILLALBA-MORALZARZAL,0,,8_N_603____1_-_IT_1,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____2_00:50:00_1_c.__2_8_N_603___,CERCEDA-EL SOTO,vsvf N603 CERCEDA,0,,8_N_603____1_c._IT_2,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____2_02:00:00_2_c.__2_8_N_603___,PRINCESA-PZA.MONCLOA,vsvf N603 MADRID (Moncloa),1,,8_N_603____2_c._IT_2,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____2_02:50:00_1_c.__3_8_N_603___,CERCEDA-EL SOTO,vsvf N603 CERCEDA,0,,8_N_603____1_c._IT_2,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____2_04:00:00_2_c.__3_8_N_603___,PRINCESA-PZA.MONCLOA,vsvf N603 MADRID (Moncloa),1,,8_N_603____2_c._IT_2,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____2_05:00:00_1_c.__4_8_N_603___,CERCEDA-EL SOTO,vsvf N603 CERCEDA,0,,8_N_603____1_c._IT_2,0
8_N_603___,1_8_N_603___,1_8_N_603___-8_N_603____2_23:30:00_2_-__1_8_N_603___,PRINCESA-PZA.MONCLOA,N603 MADRID (Moncloa),1,,8_N_603____2_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_05:55:00_1_l2__1_9__1__047_,CAMINO GUIJA-URB.MIRADOR DE LA SIERRA,1 LANZADERA 2,0,,9__1__047__1_l2_IT_2,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_06:25:00_1_l4__2_9__1__047_,REAL-EST.VILLALBA,1 LANZADERA 4 (Los Valles/Parque Coruña/Zoco),0,,9__1__047__1_l4_IT_2,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_06:50:00_1_l5__3_9__1__047_,REAL-EST.VILLALBA,1 LANZADERA 5 (hastaLos Valles),0,,9__1__047__1_l5_IT_2,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_06:55:00_1_l7__4_9__1__047_,REAL-EST.VILLALBA,1 LANZADERA 7 (sin paso por Los Valles),0,,9__1__047__1_l7_IT_2,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_07:20:00_1_l5__5_9__1__047_,REAL-EST.VILLALBA,1 LANZADERA 5 (hastaLos Valles),0,,9__1__047__1_l5_IT_2,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_07:45:00_1_l13__6_9__1__047_,REAL-EST.VILLALBA,1 LANZADERA 13 (Sin paso por Los Valles ni Mirador),0,,9__1__047__1_l13_IT_2,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_07:52:00_1_l14__7_9__1__047_,REAL-EST.VILLALBA,1 LANZADERA 14 (por Los Valles),0,,9__1__047__1_l14_IT_2,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_08:30:00_1_-__8_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_09:05:00_1_-__9_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_09:30:00_1_-__10_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_10:00:00_1_-__11_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_10:30:00_1_-__12_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_11:00:00_1_-__13_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_11:30:00_1_-__14_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_12:00:00_1_-__15_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_12:30:00_1_-__16_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_13:00:00_1_-__17_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_13:30:00_1_-__18_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_14:00:00_1_-__19_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_14:35:00_1_-__20_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_15:05:00_1_-__21_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_15:35:00_1_-__22_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_16:05:00_1_-__23_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_16:35:00_1_-__24_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_17:05:00_1_-__25_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_17:35:00_1_-__26_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_18:05:00_1_-__27_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_18:35:00_1_-__28_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_19:05:00_1_-__29_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_19:35:00_1_-__30_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_20:05:00_1_-__31_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_20:35:00_1_-__32_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_21:05:00_1_-__33_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_21:35:00_1_-__34_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_22:05:00_1_-__35_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__1_22:35:00_1_-__36_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_08:30:00_1_-__1_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_09:05:00_1_-__2_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_09:30:00_1_-__3_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_10:00:00_1_-__4_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_10:30:00_1_-__5_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_11:00:00_1_-__6_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_11:30:00_1_-__7_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_12:00:00_1_-__8_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_12:30:00_1_-__9_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
9__1__047_,2_9__1__047_,2_9__1__047_-9__1__047__2_13:00:00_1_-__10_9__1__047_,REAL-EST.VILLALBA,1 PUEBLO-URBANIZACIONES,0,,9__1__047__1_-_IT_1,0
